,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
6088,bSBS,18,22,0.55,40,0.5,4,0.83,6,0.5,4,0.6699999999999999,6,0.8,5,0.68,25
6092,bSHP,15,15,0.5,30,0.6,5,0.5,2,0.5,6,0.6699999999999999,9,0.6699999999999999,12,0.6176470588235294,34
6099,bSMs,24,28,0.54,52,0.5,6,0.75,8,0.5,10,0.6,5,0.71,7,0.6111111111111112,36
6125,bShb,7,16,0.7,23,1.0,3,0.6699999999999999,9,0.5,10,0.6,15,0.5,14,0.5882352941176471,51
6135,bSnH,21,23,0.52,44,0.6699999999999999,3,0.6,5,0.5,8,0.5,12,0.62,8,0.5555555555555556,36
6230,bmBN,72,76,0.51,148,0.6699999999999999,30,0.5,24,0.62,29,0.6,20,0.69,13,0.6120689655172413,116
6251,bmMn,90,90,0.5,180,0.5,26,0.53,32,0.5900000000000001,32,0.52,29,0.51,39,0.5316455696202531,158
6263,bmPN,62,68,0.52,130,0.5700000000000001,28,0.5,28,0.6,30,0.5700000000000001,35,0.55,31,0.5592105263157895,152
6276,bmlN,15,15,0.5,30,0.71,7,0.62,8,0.5,6,0.5,8,0.5,10,0.5641025641025641,39
6280,bmmn,41,42,0.51,83,0.53,15,0.78,9,0.5,6,0.5,18,0.7,10,0.5862068965517241,58
6287,bmsB,17,20,0.54,37,0.5,4,0.64,11,0.5,2,0.5,2,0.5,4,0.5652173913043478,23
6288,bmsN,20,25,0.56,45,0.62,8,0.69,13,0.75,8,0.83,6,0.56,9,0.6818181818181818,44
6330,bnPt,13,16,0.55,29,0.5,2,0.8,5,0.55,11,0.62,8,0.6699999999999999,3,0.6206896551724138,29
6334,bnbL,11,19,0.63,30,0.75,4,0.62,13,0.62,8,0.5,10,0.5,10,0.5777777777777777,45
6358,bsHM,29,35,0.55,64,0.5700000000000001,7,0.71,7,0.54,13,0.6699999999999999,15,0.52,25,0.582089552238806,67
6367,bsMN,30,30,0.5,60,0.5,10,0.5700000000000001,7,1.0,5,0.6699999999999999,9,0.56,9,0.625,40
6383,bsSM,18,38,0.6799999999999999,56,0.6,10,0.62,8,0.5,6,0.62,8,0.5,12,0.5681818181818182,44
6404,hBBB,16,23,0.5900000000000001,39,0.5,6,0.8,5,0.6,5,0.5,2,0.6699999999999999,3,0.6190476190476191,21
6408,hBBn,13,18,0.5800000000000001,31,0.6699999999999999,6,0.6,10,0.83,6,0.6699999999999999,3,0.6699999999999999,3,0.6785714285714286,28
6414,hBNN,14,16,0.53,30,0.6699999999999999,3,0.6699999999999999,3,0.75,4,0.5,2,0.88,8,0.75,20
6421,hBbB,11,11,0.5,22,0.6699999999999999,3,0.75,4,0.5,4,0.6699999999999999,3,0.71,7,0.6666666666666666,21
6429,hBnM,18,19,0.51,37,0.5,4,0.6,5,0.6,5,0.5,6,0.5,6,0.5384615384615384,26
6437,hMBM,9,14,0.61,23,0.5,4,0.5,8,0.6,5,0.75,4,0.6699999999999999,3,0.5833333333333334,24
6473,hMnB,11,21,0.6599999999999999,32,0.83,6,0.5,4,0.6699999999999999,3,0.75,4,0.75,4,0.7142857142857143,21
6478,hMnn,21,24,0.53,45,0.71,7,1.0,5,0.71,7,0.69,13,0.62,8,0.725,40
6479,hMns,19,20,0.51,39,1.0,1,0.8,5,0.5,6,0.6,5,0.5,2,0.631578947368421,19
6487,hNMN,11,12,0.52,23,0.6699999999999999,6,0.5,2,0.5700000000000001,7,0.75,8,1.0,1,0.6666666666666666,24
6493,hNPN,14,24,0.63,38,0.5700000000000001,7,0.5700000000000001,7,0.75,8,0.69,13,0.5,14,0.6122448979591837,49
